scheme_name,min_sip,min_lumpsum,expense_ratio,fund_size_cr,fund_age_yr,fund_manager,sortino,alpha,sd,beta,sharpe,risk_level,amc_name,rating,category,sub_category,returns_1yr,returns_3yr,returns_5yr
Invesco India Equity Savings Fund,500,1000,0.73,132,4,Dhimant Kothari,1.9,0.17,5.58,0.82,1.08,4,Invesco Mutual Fund,2,Hybrid,Equity Savings Mutual Funds,1.2,9.6,
Invesco India Financial Services Fund,100,1000,1.08,472,10,Hiten Jain,2.16,1.74,21.36,0.8,1,6,Invesco Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,5.9,22.6,10.9
Invesco India Gilt Fund,100,1000,0.48,22,10,Vikas Garg,0.08,-0.44,2.51,0.54,0.06,2,Invesco Mutual Fund,1,Debt,Gilt Mutual Funds,4.9,4.2,6.7
Invesco India Gold Fund,500,1000,0.16,59,10,Krishna Cheemalapati,1.22,0.29,14.79,1.03,0.51,5,Invesco Mutual Fund,4,Other,FoFs Domestic,13.2,11.5,13.2
Invesco India Growth Opportunities Fund,100,1000,0.66,3665,10,Amit Ganatra,2.85,0.23,15.03,0.84,1.3,6,Invesco Mutual Fund,3,Equity,Large & Mid Cap Funds,0.8,22.8,11
Invesco India Infrastructure Fund,500,1000,1.08,445,10,Amit Nigam,3.6,8.67,17.74,0.61,1.59,6,Invesco Mutual Fund,5,Equity,Sectoral / Thematic Mutual Funds,8.9,33.2,14.6
Invesco India Largecap Fund,100,1000,0.81,724,10,Amit Nigam,2.62,-0.23,16.09,0.92,1.28,6,Invesco Mutual Fund,4,Equity,Large Cap Mutual Funds,-1.8,24,11.1
Invesco India Liquid Fund,500,1000,0.15,6434,10,Krishna Cheemalapati,4.13,1.31,0.37,0.75,0.83,2,Invesco Mutual Fund,3,Debt,Liquid Mutual Funds,5.6,4.3,5.3
Invesco India Medium Duration Fund,1000,1000,0.4,306,2,Vikas Garg,-,-,-,-,-,3,Invesco Mutual Fund,2,Debt,Medium Duration Funds,3.5,,
Invesco India Midcap Fund,500,1000,0.72,2618,10,Pranav Gokhale,3.31,-0.38,15.97,0.86,1.56,6,Invesco Mutual Fund,3,Equity,Mid Cap Mutual Funds,0.2,33.5,14.6
Invesco India Money Market Fund,1000,1000,0.22,2294,10,Krishna Cheemalapati,1.82,3.07,0.8,1.61,1.14,2,Invesco Mutual Fund,2,Debt,Money Market Funds,5,5.1,5.8
Invesco India Multicap Fund,500,1000,0.65,2347,10,Pranav Gokhale,2.86,2.38,16.67,0.91,1.43,6,Invesco Mutual Fund,0,Equity,Multi Cap Funds,1.4,27,11
Invesco India Overnight Fund,100,1000,0.09,337,3,Krishna Cheemalapati,-0.3,0.55,0.35,0.42,-0.06,1,Invesco Mutual Fund,3,Debt,Overnight Mutual Funds,5.3,3.8,
Invesco India PSU Equity Fund,500,1000,0.96,394,10,Dhimant Kothari,2.73,3.08,18.45,0.66,1.19,6,Invesco Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,16.2,26.5,12.6
Invesco India Short Term Fund,1000,1000,0.35,350,10,Vikas Garg,1.31,4.41,1.93,2.19,0.76,2,Invesco Mutual Fund,2,Debt,Short Duration Funds,3.9,6.2,6.8
Invesco India Smallcap Fund,500,1000,0.78,1400,4,Taher Badshah,3.38,3.51,18.25,0.82,1.7,6,Invesco Mutual Fund,3,Equity,Small Cap Mutual Funds,3.5,34.6,
Invesco India Tax Plan – Direct Growth,500,500,0.92,1833,10,Amit Nigam,2.21,-2.63,16.3,0.94,1.19,6,Invesco Mutual Fund,3,Equity,ELSS Mutual Funds,-5.2,22.4,10.8
Invesco India Treasury Advantage Fund,100,1000,0.32,1230,10,Krishna Cheemalapati,2.9,2.95,0.93,1.27,1.34,2,Invesco Mutual Fund,2,Debt,Low Duration Funds,4.9,5.6,6.4
Invesco India Ultra Short Term Fund,1000,1000,0.24,818,10,Krishna Cheemalapati,3.4,2.51,0.57,1.2,1.59,2,Invesco Mutual Fund,3,Debt,Ultra Short Duration Funds,5.4,5.1,6
ITI Arbitrage Fund,500,5000,0.22,7.04,4,Vikrant Mehta,-1.02,-0.04,0.65,0.31,-0.71,1,ITI Mutual Fund,1,Hybrid,Arbitrage Mutual Funds,3.9,3.3,
ITI Balanced Advantage Fund,500,5000,0.35,452,3,Dhimant Shah,2.56,-0.95,11.13,0.59,0.88,6,ITI Mutual Fund,1,Hybrid,Dynamic Asset Allocation or Balanced Advantage,-0.2,12.3,
ITI Banking & PSU Debt Fund,500,5000,0.15,27,2,Vikrant Mehta,-,-,-,-,-,2,ITI Mutual Fund,5,Debt,Banking and PSU Mutual Funds,5.4,,
ITI Dynamic Bond Fund,500,5000,0.14,57,2,Vikrant Mehta,-,-,-,-,-,2,ITI Mutual Fund,5,Debt,Dynamic Bond,5.7,,
ITI Liquid Fund,500,5000,0.09,31,4,Vikrant Mehta,-0.02,0.63,0.37,0.47,0,1,ITI Mutual Fund,2,Debt,Liquid Mutual Funds,5.5,3.9,
ITI Long Term Equity Fund,500,500,0.44,156,3,Dhimant Shah,3.29,0.26,15.59,0.86,1.31,6,ITI Mutual Fund,2,Equity,ELSS Mutual Funds,5.6,23.7,
ITI Overnight Fund,500,5000,0.08,26,3,Vikrant Mehta,-1.11,0.48,0.34,0.42,-0.22,1,ITI Mutual Fund,1,Debt,Overnight Mutual Funds,5.2,3.8,
ITI Small Cap Fund,500,5000,0.44,1015,3,Dhimant Shah,2.41,-4.78,21.23,0.95,1.27,6,ITI Mutual Fund,1,Equity,Small Cap Mutual Funds,6.5,29.4,
ITI Ultra Short Duration Fund,500,5000,0.1,119,2,Vikrant Mehta,-,-,-,-,-,2,ITI Mutual Fund,2,Debt,Ultra Short Duration Funds,5.3,,
JM Arbitrage Fund,500,5000,0.36,60,10,Asit Bhandarkar,-0.31,0.56,0.72,0.55,-0.23,1,JM Financial Mutual Fund,1,Hybrid,Arbitrage Mutual Funds,5.4,3.7,4.5
JM Dynamic Bond Fund,1000,5000,0.63,43,10,Gurvinder Singh Wasan,1.64,1.34,1.61,0.65,0.95,2,JM Financial Mutual Fund,4,Debt,Dynamic Bond,4.8,6,6.1
JM Equity Hybrid Fund,500,5000,1.37,11,10,Asit Bhandarkar,3.79,5.95,17.44,1,1.4,6,JM Financial Mutual Fund,4,Hybrid,Aggressive Hybrid Mutual Funds,8,29.5,11.2
JM Flexicap Fund,500,5000,1.62,255,10,Gurvinder Singh Wasan,3.67,1.75,16.28,0.9,1.4,6,JM Financial Mutual Fund,4,Equity,Flexi Cap Funds,5.2,30.7,13.8
JM Focused Fund,500,5000,1.58,42,10,Gurvinder Singh Wasan,2.5,-2.98,16.71,0.93,1.08,6,JM Financial Mutual Fund,1,Equity,Focused Funds,3.1,19.4,8.6
JM Large Cap Fund,500,5000,1.8,44,10,Gurvinder Singh Wasan,2.94,-0.69,12.03,0.67,1.2,6,JM Financial Mutual Fund,5,Equity,Large Cap Mutual Funds,1.8,18.3,10.4
JM Liquid Fund,1000,5000,0.15,1426,10,Shalini Tibrewala,3.82,1.22,0.36,0.68,0.86,2,JM Financial Mutual Fund,4,Debt,Liquid Mutual Funds,5.6,4.2,5.3
JM Low Duration Fund,1000,5000,0.34,151,10,Shalini Tibrewala,12.57,9.03,11.61,1.19,0.64,2,JM Financial Mutual Fund,4,Debt,Low Duration Funds,5.1,11.5,5.3
JM Medium to Long Duration Fund,1000,5000,0.48,19,10,Gurvinder Singh Wasan,0.28,0.23,3.03,1.39,0.2,3,JM Financial Mutual Fund,2,Debt,Medium to Long Duration Funds,2.5,4.8,3.1
JM Tax Gain Fund,500,500,1.45,70,10,Gurvinder Singh Wasan,2.94,0.39,16.56,0.93,1.35,6,JM Financial Mutual Fund,3,Equity,ELSS Mutual Funds,0.9,26.2,12.8
JM Value Fund,500,5000,1.87,163,10,Gurvinder Singh Wasan,3.94,4.56,16.13,0.89,1.53,6,JM Financial Mutual Fund,2,Equity,Value Funds,7.7,28.9,12.4
Kotak Balanced Advantage Fund,1000,1000,0.48,14279,5,Harish Krishnan,4.01,3.56,8.76,0.56,1.59,6,Kotak Mahindra Mutual Fund,3,Hybrid,Dynamic Asset Allocation or Balanced Advantage,5.5,18.1,
Kotak Banking and PSU Debt Fund,1000,5000,0.37,5256,10,Deepak Agrawal,1.87,4.03,2.03,1.45,1.03,3,Kotak Mahindra Mutual Fund,3,Debt,Banking and PSU Mutual Funds,4.7,6.7,7.5
Kotak Bluechip Fund,100,1000,0.64,5259,10,Harish Krishnan,3.48,1.75,15.3,0.91,1.45,6,Kotak Mahindra Mutual Fund,5,Equity,Large Cap Mutual Funds,3.3,26.8,12.6
Kotak Bond – Short Term Fund,1000,5000,0.36,12203,10,Deepak Agrawal,1.89,4.73,1.76,2.06,1.12,3,Kotak Mahindra Mutual Fund,3,Debt,Short Duration Funds,4.4,6.5,7.2
Kotak Bond Fund,1000,5000,0.63,1584,10,Abhishek Bisen,0.72,1.47,3.19,1.57,0.6,2,Kotak Mahindra Mutual Fund,3,Debt,Medium to Long Duration Funds,4.1,6.4,7.7
Kotak Corporate Bond Fund,1000,5000,0.32,8880,10,Deepak Agrawal,2.25,1.73,1.54,0.59,1.23,2,Kotak Mahindra Mutual Fund,3,Debt,Corporate Bond Mutual Funds,4.5,6.4,7.1
Kotak Credit Risk Fund,1000,5000,0.74,1204,10,Deepak Agrawal,0.42,0.82,2.92,-0.4,0.47,5,Kotak Mahindra Mutual Fund,2,Debt,Credit Risk Funds,1.6,5.9,6.4
Kotak Debt Hybrid Fund,1000,5000,0.44,1650,10,Devender Singhal,3.44,4.79,4.73,0.7,2.06,4,Kotak Mahindra Mutual Fund,5,Hybrid,Conservative Hybrid Mutual Funds,6.1,14.3,10
Kotak Dynamic Bond Fund,1000,5000,0.4,1992,10,Deepak Agrawal,1,1.66,2.95,1.32,0.69,3,Kotak Mahindra Mutual Fund,4,Debt,Dynamic Bond,3.9,6.6,7.8
Kotak Emerging Equity Fund,100,100,0.49,23962,10,Pankaj Tibrewal,3.73,3.18,16.42,0.9,1.82,6,Kotak Mahindra Mutual Fund,4,Equity,Mid Cap Mutual Funds,6.6,34,15.2
Kotak Equity Arbitrage Fund,1000,5000,0.43,21917,10,Hiten Shah,1.46,1.66,0.75,0.54,1.26,1,Kotak Mahindra Mutual Fund,4,Hybrid,Arbitrage Mutual Funds,5.8,4.9,5.6
Kotak Equity Hybrid Fund,1000,5000,0.58,3269,8,Pankaj Tibrewal,3.89,7.32,11.76,0.79,1.86,6,Kotak Mahindra Mutual Fund,0,Hybrid,Aggressive Hybrid Mutual Funds,5,26.9,12.8
Kotak Equity Opportunities – Direct Growth,500,500,0.6,11608,10,Harsha Upadhyaya,3.43,4.72,14.62,0.84,1.64,6,Kotak Mahindra Mutual Fund,4,Equity,Large & Mid Cap Funds,6.2,28.8,13.9
Kotak Equity Savings Fund,1000,5000,1.02,2097,8,Devender Singhal,4.22,4.5,5.64,0.79,1.8,4,Kotak Mahindra Mutual Fund,4,Hybrid,Equity Savings Mutual Funds,6.6,14.4,9.2
Kotak Flexi Cap Fund,500,5000,0.68,35775,10,Harsha Upadhyaya,2.7,0.11,15.22,0.88,1.37,6,Kotak Mahindra Mutual Fund,3,Equity,Flexi Cap Funds,3.8,25,11.7
Kotak Floating Rate Fund,1000,5000,0.22,4796,4,Deepak Agrawal,1.86,3.79,2.35,1.03,1.02,2,Kotak Mahindra Mutual Fund,2,Debt,Floater Mutual Funds,4.6,7,
Kotak Focused Equity Fund,1000,5000,0.51,2447,4,Shibani Kurian,2.85,1.39,15.69,0.9,1.44,6,Kotak Mahindra Mutual Fund,3,Equity,Focused Funds,0.5,26.6,
Kotak Gilt – Invest Plan – Direct Growth,1000,5000,0.41,1699,10,Abhishek Bisen,0.81,1.3,3.24,0.7,0.64,2,Kotak Mahindra Mutual Fund,4,Debt,Gilt Mutual Funds,5.2,6.3,8.4
Kotak Gilt Invest – PF & Trust Plan – Direct Growth,1000,5000,0.41,1699,10,Abhishek Bisen,0.81,1.3,3.23,0.7,0.64,2,Kotak Mahindra Mutual Fund,4,Debt,Gilt Mutual Funds,5.2,6.3,8.4
Kotak Gold Fund,1000,5000,0.18,1406,10,Abhishek Bisen,1.08,-0.32,13.51,0.97,0.48,5,Kotak Mahindra Mutual Fund,3,Other,FoFs Domestic,14.2,12.2,13.7
Kotak India EQ Contra Fund,1000,5000,0.81,1440,10,Shibani Kurian,3.35,4.24,15.95,0.92,1.57,6,Kotak Mahindra Mutual Fund,4,Equity,Contra Funds,7.3,29.7,14.2
Kotak India Growth Fund,0,5000,0.34,90,5,Devender Singhal,3.71,7.67,17.23,0.95,1.75,6,Kotak Mahindra Mutual Fund,0,Equity,Multi Cap Funds,4.8,35.5,15.6
Kotak Infrastructure & Ecoc. Reform-SP-DirGrowth,1000,5000,1,727,10,Harish Krishnan,4.55,14.15,16.65,0.6,2,6,Kotak Mahindra Mutual Fund,4,Equity,Sectoral / Thematic Mutual Funds,23.2,39.7,13.9
Kotak Liquid Fund,1000,100,0.15,33220,10,Deepak Agrawal,3.68,1.33,0.38,0.76,0.85,3,Kotak Mahindra Mutual Fund,2,Debt,Liquid Mutual Funds,5.6,4.3,5.3
Kotak Low Duration Fund,1000,5000,0.43,7420,10,Deepak Agrawal,2.67,2.9,1.3,0.78,1.43,3,Kotak Mahindra Mutual Fund,3,Debt,Low Duration Funds,5.4,6.2,6.9
Kotak Medium Term Fund,1000,5000,0.58,1934,9,Deepak Agrawal,0.71,2.04,3.41,0.79,0.66,3,Kotak Mahindra Mutual Fund,4,Debt,Medium Duration Funds,4,7,6.6
Kotak Money Market Fund,0,5000,0.26,14248,10,Deepak Agrawal,4.43,2.59,0.51,1.2,1.92,3,Kotak Mahindra Mutual Fund,3,Debt,Money Market Funds,5.6,5.1,6.1
Kotak Multi Asset Allocator FoF – Dynamic – Direct Growth,1000,5000,0.13,783,10,Devender Singhal,4.33,8.04,10.99,0.7,1.91,5,Kotak Mahindra Mutual Fund,0,Other,FoFs Domestic,11.2,25,15.3
Kotak Overnight Fund,0,5000,0.07,8999,4,Deepak Agrawal,-0.1,0.56,0.35,0.42,-0.02,1,Kotak Mahindra Mutual Fund,3,Debt,Overnight Mutual Funds,5.4,3.9,
Kotak Savings Fund,1000,5000,0.37,12325,10,Deepak Agrawal,4.14,2.57,0.58,1.12,1.85,3,Kotak Mahindra Mutual Fund,3,Debt,Ultra Short Duration Funds,5.5,5.2,6.2
Kotak Small Cap Fund,500,500,0.59,8617,10,Pankaj Tibrewal,4.06,8.99,18.26,0.81,1.98,6,Kotak Mahindra Mutual Fund,4,Equity,Small Cap Mutual Funds,-0.7,43.1,17
Kotak Tax Saver Fund,500,500,0.69,3167,10,Harsha Upadhyaya,3.36,4.69,14.44,0.83,1.68,6,Kotak Mahindra Mutual Fund,4,Equity,ELSS Mutual Funds,5,28.9,14.4
L&T Focused Equity Fund,500,5000,1.09,946,4,Venugopal Manghat,-,-,-,-,-,6,L&T Mutual Fund,3,Equity,Focused Funds,-0.7,33.7,11.3
L&T India Large Cap Fund,500,5000,1.49,757,10,Venugopal Manghat,2.6,-2.34,16.62,0.97,1.18,6,L&T Mutual Fund,2,Equity,Large Cap Mutual Funds,0.8,33,12.1
LIC MF Arbitrage Fund,1000,5000,0.31,27,4,Jaiprakash Toshniwal,0.67,1.23,0.78,0.6,0.55,1,LIC Mutual Fund,2,Hybrid,Arbitrage Mutual Funds,5.5,4.4,
LIC MF Banking & Fina Serv Fund,1000,5000,1.54,121,8,Jaiprakash Toshniwal,2.19,0.9,22.14,0.85,0.97,6,LIC Mutual Fund,2,Equity,Sectoral / Thematic Mutual Funds,13.9,22.7,8.5
LIC MF Banking & PSU Debt Fund,1000,5000,0.28,1190,10,Marzban Irani,1.49,3.94,1.53,2.05,0.78,2,LIC Mutual Fund,3,Debt,Banking and PSU Mutual Funds,4.2,5.7,6.8
LIC MF Bond Fund,1000,5000,0.21,111,10,Marzban Irani,0.32,0.23,2.6,1.24,0.22,3,LIC Mutual Fund,2,Debt,Medium to Long Duration Funds,4.4,4.7,6.2
LIC MF Children’s Gift Fund,1000,5000,1.86,12,10,Karan Desai,2.54,-3.65,13.05,0.9,0.99,6,LIC Mutual Fund,1,Solution Oriented,Childrens Funds,-1.9,17.1,7.6
LIC MF Debt Hybrid Fund,1000,5000,1.34,61,10,Karan Desai,2.11,-0.54,4.14,0.61,0.92,4,LIC Mutual Fund,3,Hybrid,Conservative Hybrid Mutual Funds,2.5,8.1,6.7
LIC MF Equity Hybrid Fund,1000,5000,1.43,378,10,Karan Desai,2.26,-2.85,11.49,0.77,0.99,6,LIC Mutual Fund,1,Hybrid,Aggressive Hybrid Mutual Funds,-0.5,15.1,8.3
LIC MF Flexi Cap Fund,1000,5000,1.74,383,10,Amit Nadekar,2.15,-4.31,14.27,0.8,1.02,6,LIC Mutual Fund,2,Equity,Flexi Cap Funds,-0.9,18.3,8.8
LIC MF G-Sec Fund,1000,10000,0.76,46,10,Marzban Irani,0.51,0.27,2.23,0.45,0.35,2,LIC Mutual Fund,3,Debt,Gilt Mutual Funds,3.3,4.9,7.7
LIC MF Infrastructure Fund,1000,5000,1.47,90,10,Yogesh Patil,3.89,7.11,16.12,0.57,1.56,6,LIC Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,6.7,29.8,11.2
LIC MF Large & Mid Cap Fund,1000,5000,0.84,1888,8,Yogesh Patil,2.59,0.78,14.89,0.84,1.34,6,LIC Mutual Fund,3,Equity,Large & Mid Cap Funds,-4.3,22.8,10.9
LIC MF Large Cap Fund,1000,5000,1.39,648,10,Yogesh Patil,2.37,-3.35,15.42,0.88,1.08,6,LIC Mutual Fund,2,Equity,Large Cap Mutual Funds,-3.2,19.7,10.9
LIC MF Liquid Fund,1000,5000,0.16,5996,10,Rahul Singh,4.72,1.33,0.37,0.73,0.97,3,LIC Mutual Fund,3,Debt,Liquid Mutual Funds,5.6,4.4,5.3
LIC MF Nifty 50 Index Fund,1000,5000,0.2,53,10,Jaiprakash Toshniwal,3.44,-0.85,16.75,1,1.3,6,LIC Mutual Fund,3,Other,Index Funds,1,25.8,11.7
LIC MF Overnight Fund,1000,5000,0.07,951,4,Rahul Singh,0.11,0.57,0.35,0.42,0.02,1,LIC Mutual Fund,4,Debt,Overnight Mutual Funds,5.4,3.9,
LIC MF S&P BSE Sensex Index Fund,1000,5000,0.38,68,10,Jaiprakash Toshniwal,3.4,-1.81,16.89,1,1.23,6,LIC Mutual Fund,3,Other,Index Funds,2.2,25.4,12.6
LIC MF Savings Fund,1000,5000,0.27,707,10,Rahul Singh,4.54,2.95,1.02,1.01,1.57,2,LIC Mutual Fund,3,Debt,Low Duration Funds,5,5.9,5.6
LIC MF Short Term Debt Fund,1000,5000,0.37,110,4,Marzban Irani,1.26,4.66,1.61,2.57,0.76,3,LIC Mutual Fund,2,Debt,Short Duration Funds,3.7,5.7,
LIC MF Tax Plan – Direct Growth,500,500,1.47,401,10,Amit Nadekar,2.55,-0.72,14.61,0.81,1.25,6,LIC Mutual Fund,2,Equity,ELSS Mutual Funds,-1.9,20.5,9.9
LIC MF Ultra Short Term Fund,1000,5000,0.3,40,3,Rahul Singh,1.98,1.33,0.39,0.75,0.85,1,LIC Mutual Fund,1,Debt,Ultra Short Duration Funds,5,4.5,
Mahindra Manulife Aggressive Hybrid Fund,500,1000,0.65,615,4,Fatema Pacha,3.57,4.52,12.44,0.85,1.62,6,Mahindra Manulife Mutual Fund,4,Hybrid,Aggressive Hybrid Mutual Funds,2.7,24.6,
Mahindra Manulife Consumption Fund,500,1000,0.82,54,4,Abhinav Khandelwal,2.76,0.66,14.14,0.77,1.33,6,Mahindra Manulife Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,5.7,21.3,
Mahindra Manulife Dynamic Bond Fund,500,1000,0.51,66,5,Rahul Pal,-0.01,-0.19,1.7,0.65,-0.01,3,Mahindra Manulife Mutual Fund,2,Debt,Dynamic Bond,3.4,4.4,
Mahindra Manulife ELSS Fund,500,500,0.73,525,6,Fatema Pacha,3.64,2.66,16.21,0.94,1.53,6,Mahindra Manulife Mutual Fund,3,Equity,ELSS Mutual Funds,2.3,29.3,12
Mahindra Manulife Equity Savings Fund,500,1000,0.7,418,6,Fatema Pacha,3.1,3.84,8.16,1.24,1.56,4,Mahindra Manulife Mutual Fund,4,Hybrid,Equity Savings Mutual Funds,1.7,32.4,13.3
Mahindra Manulife Large & Mid Cap Fund,500,1000,0.51,1056,3,Manish Lodha,3.07,4.98,15.69,0.88,1.61,6,Mahindra Manulife Mutual Fund,5,Equity,Large & Mid Cap Funds,-1.1,30.4,
Mahindra Manulife Large Cap Fund,500,1000,0.67,215,4,Abhinav Khandelwal,2.71,-1.04,15.36,0.9,1.25,6,Mahindra Manulife Mutual Fund,4,Equity,Large Cap Mutual Funds,0.3,25.7,
Mahindra Manulife Liquid Fund,0,1000,0.15,514,7,Rahul Pal,5.26,1.41,0.37,0.74,1.15,3,Mahindra Manulife Mutual Fund,5,Debt,Liquid Mutual Funds,5.7,4.5,5.4
Mahindra Manulife Low Duration Fund,500,1000,0.37,395,6,Rahul Pal,3.11,2.67,0.76,1.07,1.63,3,Mahindra Manulife Mutual Fund,3,Debt,Low Duration Funds,5.2,5.5,6.4
Mahindra Manulife Mid Cap Fund,500,1000,0.66,1060,5,Abhinav Khandelwal,2.99,-0.01,16.69,0.89,1.57,6,Mahindra Manulife Mutual Fund,3,Equity,Mid Cap Mutual Funds,3.7,31,14.7
Mahindra Manulife Multi Cap Fund,500,1000,0.49,1515,6,Fatema Pacha,2.87,4.41,17.39,0.98,1.58,6,Mahindra Manulife Mutual Fund,0,Equity,Multi Cap Funds,1.2,32.6,15.8
Mahindra Manulife Overnight Fund,0,1000,0.12,345,4,Rahul Pal,0.52,0.61,0.34,0.43,0.1,1,Mahindra Manulife Mutual Fund,4,Debt,Overnight Mutual Funds,5.4,3.9,
Mahindra Manulife Short Duration Fund,500,1000,0.29,43,2,Rahul Pal,-,-,-,-,-,3,Mahindra Manulife Mutual Fund,3,Debt,Short Duration Funds,4.4,,
Mahindra Manulife Ultra Short Duration Fund,500,1000,0.35,170,3,Rahul Pal,3.72,2.38,0.56,1.05,1.74,2,Mahindra Manulife Mutual Fund,4,Debt,Ultra Short Duration Funds,5.5,5.1,
Mirae Asset Banking and PSU Debt Fund,1000,5000,0.34,89,3,Basant Bafna,-,-,-,-,-,2,Mirae Asset Mutual Fund,3,Debt,Banking and PSU Mutual Funds,3.7,,
Mirae Asset Cash Management Fund,1000,5000,0.17,5983,10,Abhishek Iyer,6.12,1.3,0.37,0.7,1,2,Mirae Asset Mutual Fund,3,Debt,Liquid Mutual Funds,5.6,4.3,5.3
Mirae Asset Corporate Bond Fund,1000,5000,0.46,57,2,Mahendra Jajoo,-,-,-,-,-,2,Mirae Asset Mutual Fund,3,Debt,Corporate Bond Mutual Funds,3.7,,
Mirae Asset Dynamic Bond Fund,1000,5000,0.18,213,6,Amit Modani,0.22,0.15,2.49,1.14,0.19,3,Mirae Asset Mutual Fund,2,Debt,Dynamic Bond,2.8,4.5,7.2
Mirae Asset Emerging Bluechip Fund,1000,5000,0.68,23394,10,Neelesh Surana,3.42,3.14,16.51,0.95,1.51,6,Mirae Asset Mutual Fund,5,Equity,Large & Mid Cap Funds,-1.2,29.4,15.1
Mirae Asset Equity Savings Fund,1000,5000,0.43,573,4,Harshad Borawake,4.03,4.3,7.17,1.06,1.66,4,Mirae Asset Mutual Fund,5,Hybrid,Equity Savings Mutual Funds,3.7,16.1,
Mirae Asset Focused Fund,1000,5000,0.59,8615,4,Gaurav Misra,3.4,2.4,16.34,0.92,1.47,6,Mirae Asset Mutual Fund,4,Equity,Focused Funds,-4.9,28.4,
Mirae Asset Great Consumer Fund,1000,5000,0.5,1989,10,Ankit Jain,3.41,6.38,13.39,0.7,1.68,6,Mirae Asset Mutual Fund,3,Equity,Sectoral / Thematic Mutual Funds,8.1,27.2,14
Mirae Asset Healthcare Fund,1000,5000,0.52,1505,5,Vrijesh Kasera,2.23,2.95,21.5,0.99,1,6,Mirae Asset Mutual Fund,0,Equity,Sectoral / Thematic Mutual Funds,-10.7,25,
Mirae Asset Hybrid – Equity Fund,1000,5000,0.36,6952,8,Harshad Borawake,3.27,1.95,12.26,0.84,1.42,6,Mirae Asset Mutual Fund,4,Hybrid,Aggressive Hybrid Mutual Funds,1.7,21.9,12.2
Mirae Asset Large Cap Fund,1000,5000,0.53,32910,10,Gaurav Misra,3.55,0.41,15.64,0.92,1.36,6,Mirae Asset Mutual Fund,3,Equity,Large Cap Mutual Funds,0.6,25.3,12.1
Mirae Asset Midcap Fund,1000,5000,0.58,8753,4,Ankit Jain,3.44,2.67,16.86,0.92,1.76,6,Mirae Asset Mutual Fund,4,Equity,Mid Cap Mutual Funds,1.2,35,
Mirae Asset Money Market Fund,1000,5000,0.25,59,2,Basant Bafna,-,-,-,-,-,2,Mirae Asset Mutual Fund,3,Debt,Money Market Funds,5.3,,
Mirae Asset Overnight Fund,1000,5000,0.11,632,3,Abhishek Iyer,1.26,0.67,0.34,0.45,0.2,1,Mirae Asset Mutual Fund,5,Debt,Overnight Mutual Funds,5.4,3.9,
Mirae Asset Savings Fund,1000,5000,0.37,606,10,Kruti Chheta,3.29,2.65,0.86,1.03,1.47,2,Mirae Asset Mutual Fund,3,Debt,Low Duration Funds,5.2,5.6,5.9
Mirae Asset Short Term Fund,1000,5000,0.31,406,5,Basant Bafna,1.74,4.26,1.46,2.04,1.05,2,Mirae Asset Mutual Fund,3,Debt,Short Duration Funds,4.5,6.1,6.7
Mirae Asset Tax Saver Fund,500,500,0.54,14043,7,Neelesh Surana,3.73,2.58,16.81,0.98,1.52,6,Mirae Asset Mutual Fund,5,Equity,ELSS Mutual Funds,0.6,30.3,15.3
Mirae Asset Ultra Short Duration Fund,1000,5000,0.29,284,2,Basant Bafna,-,-,-,-,-,2,Mirae Asset Mutual Fund,3,Debt,Ultra Short Duration Funds,5.5,,
Motilal Oswal Balance Advantage Fund,500,500,1.19,667,6,Santosh Singh,1.13,-4.94,10.32,0.62,0.62,6,Motilal Oswal Mutual Fund,1,Hybrid,Dynamic Asset Allocation or Balanced Advantage,0.3,9.9,5.6
Motilal Oswal Equity Hybrid Fund,500,500,0.94,385,5,Siddharth Bothra,2.63,-1.13,11.94,0.82,1.16,6,Motilal Oswal Mutual Fund,3,Hybrid,Aggressive Hybrid Mutual Funds,1.7,32.4,13.3
Motilal Oswal Flexi Cap Fund,500,500,0.97,8332,9,Siddharth Bothra,1.98,-6.29,15.5,0.86,0.9,6,Motilal Oswal Mutual Fund,1,Equity,Flexi Cap Funds,-1.6,16.4,4.9
Motilal Oswal Focused Fund,500,500,1,1643,10,Siddharth Bothra,2.1,-4.81,16.36,0.94,1.01,6,Motilal Oswal Mutual Fund,2,Equity,Focused Funds,2.6,20.4,10.6
Motilal Oswal Large and Midcap Fund,500,500,0.73,1415,3,Aditya Khemani,3.17,5.27,15.94,0.85,1.55,6,Motilal Oswal Mutual Fund,3,Equity,Large & Mid Cap Funds,10.7,28.9,
Motilal Oswal Liquid Fund,500,500,0.21,484,4,Rakesh Shetty,-0.39,0.88,0.35,0.68,-0.08,2,Motilal Oswal Mutual Fund,1,Debt,Liquid Mutual Funds,5.2,3.8,
Motilal Oswal Long Term Equity Fund,500,500,0.8,2187,8,Aditya Khemani,3.01,1.02,15.9,0.88,1.36,6,Motilal Oswal Mutual Fund,3,Equity,ELSS Mutual Funds,8.5,25,10
Motilal Oswal Midcap Fund,500,500,0.87,3769,9,Niket Shah,3.72,7.69,15.34,0.77,1.98,6,Motilal Oswal Mutual Fund,5,Equity,Mid Cap Mutual Funds,14.6,34,16.4
